Company,Question,Date
Financial Data Analyst at ZenQ was asked...,if u have good knowledge on FINANCE u will get hired .,18-Apr-18
Data Analyst at Bytech India was asked...,Tool test (Excel),6-Dec-18
Data Analyst at The Morning Star Company was asked...,Basic fundamental and about the company and overall review about functionality,23-Aug-19
Data Analyst at ReWise Analytics & Technologies was asked...,technical tools like excel sql python etc.,26-Sep-19
Data Analyst at Spice Money was asked...,Is foreign key nullable?,7-Oct-19
Data Analyst at Indegene was asked...,"The whole interview process was good, the recruitment team is very supportive and helpful there were a total of three rounds of interview First-round is the system based test which comprises of aptitude and technical question the second round was technically based upon the previous project and problem-solving skills in Data Science. The third round was HR round which I would say is the best round according to me they are very helpful and cooperative. The HR round was the skype round.",24-Oct-19
Financial Data Analyst at ZenQ was asked...,if u have good knowledge on FINANCE u will get hired .,18-Apr-18
Senior Data Analyst at eattributes was asked...,Case based and technology questions on dB and programming. Excellent questions. Loved working on the answers with the panel. It was collaborative,26-May-18
Data Analyst at MedLife Pharmacy and Compounding was asked...,What motivates u to work .,26-Sep-18
Data Analyst at Paisabazaar.com was asked...,R questions,13-Aug-18
Data Analyst at Mindtree was asked...,What do you know about Mindtree? (HR),2-Apr-19
Data Analyst at Deluxe Entertainment was asked...,Excel shortcuts,23-Aug-19
Scientific Data Analyst at Molecular Connections was asked...,Where do you see yourself in 2 years in the company?,17-Jun-19
Data Analyst at TCS was asked...,1) Aptitude test is taken by HR team which is very easy. 2) After passing aptitude test they arrange HR round of interview. 3) Followed by HR interview round they arrange third round of interview called technical interview round. 4) It took around seven days to get offer letter after passing interview.,27-Oct-19
Data Analyst at Lentenics Technologies was asked...,Write a program to read data from a CSV file and show it into a chart . Chart should be type of pie. Programming language must be R or Python.,29-Nov-19
Data Analyst at Centre for Digital Financial Inclusion was asked...,"They put me on hold for more than 2 weeks. I had to follow up with them and finally the HR disclosed that I am not selected. I did not understand how one can decide based on 10-15 mins discussion. They holded my profile for 2 weeks because they were reviewing other candidates. How one can compare with others. If I was not up to their expectations, they would have rejected me right away. No skill tests, no technical discussion nothing happened.",10-Dec-19
Junior Data Analyst at Mckinsey Knowledge Center was asked...,How many e-mails are sent in a day all over the world?,28-Mar-15
Data Analyst at Panacea Biotec was asked...,Why do you want to join? Why specially analytics ?,26-May-17
Data Analyst at Arcadix was asked...,Linear regression,26-Oct-17
Data Analyst at Tech Mahindra was asked...,what is Extraction and Production,17-May-19
Data Analyst at Unifytech was asked...,Technical,23-Jan-20
Data Analyst at Tech Mahindra was asked...,what is Extraction and Production,17-May-19
Data Analyst at Tech Mahindra was asked...,Explain fibonacci program,1-Jun-20
Data Analyst at Vaibhav Software was asked...,What was one thing that they ask you?,26-Apr-19
Cloud Data Analyst at CipherCloud was asked...,What do you know about Cloud Computing?,18-Jul-17
Data Analyst at EXL Service was asked...,Check on SAS knowledge with scenario questions,25-Mar-19
Data Analyst at EXL Service was asked...,they asked about my interest in cricket jounalism,17-May-16
Data Analyst at EXL Service was asked...,Things to keep in mind while starting a new cab company.,12-Oct-17
Data Analyst at Unilog Content Solutions was asked...,Asked for descriptive essay writing.,17-Oct-16
Data Analyst at Multiplier Solutions was asked...,Validation of address,10-Nov-19
Data Analyst at Sovereign Health Group was asked...,billing process comfoatable in california shift.,11-Mar-17
Data Analyst at Unilog Content Solutions was asked...,Asked for descriptive essay writing.,17-Oct-16
Data Analyst at BRIDGEi2i was asked...,Basic R and SQL questions Basic Stats,4-Jan-18
Data Analyst at Cogencis Information Services was asked...,Basic account question,9-Dec-19
Data Analyst at Schneider Electric was asked...,mainly questions asked on SQL,23-Nov-18
Data Analyst at BRIDGEi2i was asked...,What is the most impactful theory in statistics?,5-Sep-18
Data Analyst at LatentView Analytics was asked...,Tell Me about Web Mining? (From my resume),24-Aug-16
Data Analyst at Securonix was asked...,Which is efficient joins or subquery ?,21-Aug-16
Research Data Analyst at S&P Global was asked...,Questions related to Accounting,23-Sep-18
Research Data Analyst at FullContact was asked...,Tell me about Yourself? Failures in Life? Hobbies and Interests?,15-Mar-18
Data Analyst at Genpact was asked...,"How to handle a client, when you have missed the deadline?",1-Jun-11
Data Analyst at Tata Consultancy Services was asked...,Which Software you use Data anlysis?,26-Apr-18
Data Analyst at Newpark Drilling Fluids was asked...,what is expectations amount ?,21-Sep-18
Senior Data Analyst at Info Edge was asked...,"Technology and puzzle related, testing actual knowledge on the basis of resume submitted",13-Mar-16
Manager Data Analyst at Aakash Educational Services was asked...,"case studies, regarding past experience, resume based questions",25-Apr-19
Senior Data Analyst at Cognizant Technology Solutions was asked...,"They ask me, Why should we hire you? Why you want this job?",22-Sep-17
Data Analyst at Hotstar was asked...,Why would you like to work at Hotstar?,10-Oct-19
Data Analyst at KPMG was asked...,How would you manage a conflict in your team.,14-Oct-18
Research Data Analyst at Collegedunia was asked...,why do you want this job?,23-Aug-18
Data Analyst at T-Systems was asked...,Case-based.,11-Jul-19
Data Analyst at IBM was asked...,how you manage yourself while you are demotivated?,3-Jul-12
Research Data Analyst at Collegedunia was asked...,why do you want this job?,23-Aug-18
Data Analyst at BYJU'S was asked...,SQL,6-Nov-19
Senior Data Analyst at Infosys was asked...,Why did you choose this technique to build the model?,17-Jan-19
Data Analyst at HCL Technologies was asked...,What will u do if u were in my position?? Whether to hire you or not,15-Feb-19
Data Analyst at Infosys was asked...,tell me about yourself,9-Jan-18
Data Analyst at T-Systems was asked...,Case-based.,11-Jul-19
Data Analyst at IBM was asked...,how you manage yourself while you are demotivated?,3-Jul-12
Data Analyst at Deloitte was asked...,1) Tell me about yourself 2) How to run while loop in R 3) Why data will be skewd during data cleaning with forward fill and backward fill 4) swap two variable without using third variable 5) asked about project 6) why do you want to join our company 7) where u want to see yourself after 5 years? 8) any questions for us?,6-May-19
Data Analyst at Concentrix was asked...,What kind of project you have worked with you previous organisation Business Scenario,10-Oct-18
Data Analyst at GlobalLogic was asked...,Where do you see your self after 5 years.,29-Jan-19
Data Analyst at GlobalLogic was asked...,Tell me about yourself? why do you wanna join globalLogic??,28-Oct-16
Data Analyst at GlobalLogic was asked...,Where do you see your self after 5 years.,29-Jan-19
Data Analyst at Capgemini was asked...,Questions about your project,22-Jun-18
Data Analyst at Capgemini was asked...,Why do we use library class in C?,14-Jul-20
Data Analyst at CenturyLink was asked...,"Normal SQL Questions, but interviewer was in very much hurry.",20-Jul-19
Data Analyst at Nielsen was asked...,Why should I hire you?,19-Oct-16
GIS Data Analyst at Facebook was asked...,Haward university questions no idea what all were about,23-Jun-16
Data Analyst at Fractal was asked...,Difference between different clustering algorithms?,28-Apr-19
Clinical Data Analyst at IKS Health was asked...,Anatomy of the whole human body,21-Jul-19
Data Analyst at Mapbox was asked...,"Questions related to your interests and involvement in the mapping industry, Open Source Software and OpenStreetMap.",1-Mar-16
Data Analyst at Flipkart was asked...,If two people have same set of 5 numbers . What is the probability that they will choose the same number.,4-Oct-17
Senior Data Analyst at Neal Analytics was asked...,They are looking for people who are proactive and eager to learn Data Science models.,3-Oct-17
Data Analyst - Freshers at Nash Ventures (India) was asked...,"87*17, 97*17, 107 * 17.",27-Apr-18
Data Analyst at Paradigm Infotech was asked...,I was asked why I was leaving my earlier organization in such a short time(8 months),13-May-15
Data Analyst at J.P. Morgan was asked...,Why do you want to leave your Job?,7-Aug-15
Data Analyst at Mapbox was asked...,"Questions related to your interests and involvement in the mapping industry, Open Source Software and OpenStreetMap.",1-Mar-16
Data Analyst at Sankhyana Consultancy Services was asked...,Basics of SAS,13-Jul-16
Data Analyst at GreenPoint Global was asked...,Personal question as well as technical one,6-Dec-16
Associate Data Analyst at Selling Simplified was asked...,Explain internship project,18-May-17
Senior Executive Product - Data Analyst at Vivo (CA) was asked...,Why do you want to join as data analyst rather than opting for coding jobs?,2-Apr-17
Data Analyst at Pentation Analytics was asked...,"None related to mathematics, programming, problem solving, data science were asked. Unnecessary, unrelated questions to the job were asked. This was not just to me but my colleagues as well. They referred to pandas, a Python library as a language. The guys were clueless about computer science stuff.",6-Dec-18
Data Analyst at Public Affairs Council was asked...,"statics, data mining concepts",18-Jan-19
Data Analyst at Rupeek was asked...,Basic aptitude questions but there is to many questions and less time .,7-Apr-19
Data Analyst at Morepen Laboratories was asked...,What languages do you knoe?,26-Apr-19
Data Analyst at Raghav Enterprises was asked...,"tell me about yourself, brief introduction",26-Aug-19
Data Analyst at TBM Technologies Pvt was asked...,They asked me to explain some machine learning algorithms if i could implement them or not,30-Jul-19
Data Analyst at Myntra was asked...,List the topics that you know in SQL? questions where based on this topic,9-Oct-19
Data Analyst at Apollo Laboratories was asked...,"about my personality and my projects., asked about data structures and algorithms.",29-Apr-19
Data Analyst at Mercedes-Benz Research and Development India was asked...,Questions about SQL,21-Jun-19
Data Analyst at ReWise Analytics & Technologies was asked...,tell me about yourself?,26-Sep-19
Data Analyst at Spiro Solutions was asked...,How did you find the job,30-Aug-18
Data Entry Operator & Data Analyst at IndeBo was asked...,Tell us something about your previous job profiles ?,10-Dec-18
Data Analyst at Pentation Analytics was asked...,"None related to mathematics, programming, problem solving, data science were asked. Unnecessary, unrelated questions to the job were asked. This was not just to me but my colleagues as well. They referred to pandas, a Python library as a language. The guys were clueless about computer science stuff.",6-Dec-18
Data Analyst at Public Affairs Council was asked...,"statics, data mining concepts",18-Jan-19
Data Analyst at Rupeek was asked...,Basic aptitude questions but there is to many questions and less time .,7-Apr-19
Data Analyst at Apollo Laboratories was asked...,"about my personality and my projects., asked about data structures and algorithms.",29-Apr-19
Data Analyst at Morepen Laboratories was asked...,What languages do you knoe?,26-Apr-19
Data Analyst at Mercedes-Benz Research and Development India was asked...,Questions about SQL,21-Jun-19
Data Analyst at Raghav Enterprises was asked...,"tell me about yourself, brief introduction",26-Aug-19
Data Analyst at TBM Technologies Pvt was asked...,They asked me to explain some machine learning algorithms if i could implement them or not,30-Jul-19
Data Analyst at Zen3 Info Solutions was asked...,why do you wan to work in this company?,10-Dec-17
Data Analyst at Competent Software was asked...,tell me about your self?,5-May-16
Data Analyst at Unifytech was asked...,Technical,16-Jan-20
Data Analyst at Goldman Sachs was asked...,how many years of experience ?,3-Sep-18
Data Analyst at QS Quacquarelli Symonds Limited was asked...,What are your strengths and Weakness?,9-Jun-17
Junior Healthcare Data Analyst at SCIO Health Analytics was asked...,Second round - Gave me data and write code to extract data from it using SQL or any other language(related to transpose and creating dummy variables),27-Oct-19
Junior Healthcare Data Analyst at SCIO Health Analytics was asked...,about health care knowledge and gave some variables and asked which variables are helpful in finding the patients who wil cost more,27-Oct-19
Junior Healthcare Data Analyst at SCIO Health Analytics was asked...,Why do you have a gap?,27-Oct-19
Data Analyst at Urban Company was asked...,Automation of Alerts .,4-May-16
Data Analyst at HitWicket was asked...,Do you know python or SQL?,9-Sep-19
Consultant- Data Analyst at Akamai was asked...,What do you know about Akamai Technologies?,5-May-15
Data Analyst at Decision Resources Group was asked...,"Asked me about my background, my experience, technical questions on basic DML, DDL SQL commands, SQL joins, Excel formulas followed by some puzzles from google(easy ones).",14-Jan-20
Research Data Analyst at PRS Legislative Research was asked...,Q: Tell Us about yourself which is not there in your CV,7-Sep-19
Data Analyst at Mu Sigma was asked...,About development of education standars in govt schools.,7-Feb-18
Data Analyst at Tata Consultancy Services was asked...,"You dont seem particularly strong in any technical area, why should I hire you?",14-Nov-13
Data Analyst at LatentView Analytics was asked...,Number of crows in Delhi,24-Oct-16
Data Analyst at Actiknow was asked...,Why should we hire you?,26-Sep-17
Data Analyst at LatentView Analytics was asked...,How many golf balls can I fit in this room??,12-Nov-17
Data Analyst at LatentView Analytics was asked...,Pseudo Code for a C program from Mechanical and Electrical questions and the interviewer was not satisfied with the logic.,26-Sep-14
Data Analyst at Ergode Inc was asked...,How you are beneficial to us?,24-May-17
Data Analyst at Tata Consultancy Services was asked...,Basics of Computer Science,18-Mar-16
Data Analyst at FE fundinfo was asked...,"Mutual fund , company process , previous experience",11-Nov-16
Data Analyst at LatentView Analytics was asked...,"Puzzle 1:If a flower is at the center of pond, and it doubles everyday and cover the whole of the pond then in how many days will it cover half of the pond?",22-Sep-16
Associate Data Analyst at Vidooly Media Tech was asked...,"Technical questions were asked on Excel Formulas (e.g. VLOOKUP, COUNTIF, SUMIF etc) and Pivot Table.",22-Jan-19
Data Analyst at Snapdeal was asked...,SQL questions with joins and case questions.,22-Jan-17
Data Analyst at Cognizant Technology Solutions was asked...,Projects mentioned on the resume.,27-Feb-19
Programmer Data Analyst at Snapdeal was asked...,Why changing the current role to a new role,6-Jun-12
Data Analyst at Snapdeal was asked...,1 m long stick is divided in 3 parts. What is the probability it will form a triangle?,18-Aug-12
Data Analyst at Wipro was asked...,Design an algorithm to estimate the number of the flight arriving or taking-off per day in your city airport.,19-Mar-18
Data Analyst at Aon was asked...,how many stairs you took to get at 10th floor,6-Sep-17
Data Analyst at Morningstar was asked...,Finance related,22-Apr-15
Data Analyst at ZS Associates was asked...,case studies related to how many taxis are operational in delhi airport everyday.,21-Sep-17
Data Analyst at OceanFrogs was asked...,What are joins in SQL?,14-Jul-19
Data Analyst at Philips was asked...,"Q. 1st they asked me to explain my academic projects in detail, they asked about the challenges faced and how did I overcome",3-Mar-19
Data Analyst at Deloitte was asked...,Mostly picked from resume,23-Oct-19
Data Analyst at Stanza Living was asked...,Written test of basic SQL questions,17-Sep-19
Data Analyst at ValueLabs was asked...,About machine learning algorithms. Some R and Python programming.,25-Nov-17
Digital Data Analyst at TO THE NEW was asked...,what was ur expectations and regarding company bla bla,26-Jan-18
Research Data Analyst at Collegedunia was asked...,Introduce yourself. And some educational background related question.,23-Aug-18
Senior Data Analyst at Incedo was asked...,All questions are related to data base on your day to day activities and live situations.,6-Sep-17
Data Analyst at dunnhumby was asked...,Guesstimates,1-Apr-20
Data Analyst at Infosys was asked...,spark and kafak integration. data pipeline. joins in spark. file formats in hive. write a query to update in hbase,5-Apr-18
Data Analyst at Team Computers was asked...,Data science skills and python skills,9-Oct-19
Data Analyst at TheMathCompany was asked...,They asked me questions based on the technologies that I had used to make projects which were mentioned in my resume.,14-Nov-19
Data Analyst at Hinduja Global Solutions was asked...,Related to Data Science.,10-Mar-19
Clinical Data Analyst II at Parexel was asked...,What are my marriage plans?,19-Jun-13
Data Analyst at Collabera was asked...,Introduce yourself? What is data?,24-Jul-17
Data Analyst at Yodlee was asked...,Questions were asked on banking products and little bit of MS Excel knowledge were tested. Working experience on Fintech environment were asked and given advantage,3-Jul-18
Data Analyst at AIG was asked...,"Previous experience , ability test, scenario",14-Apr-19
Senior Data Analyst at CenturyLink was asked...,"among all technology , sql, etl, analytics and reporting , excel",22-Feb-18
Data Analyst at AIG was asked...,"Previous experience , ability test, scenario",14-Apr-19
Senior Data Analyst at CenturyLink was asked...,"among all technology , sql, etl, analytics and reporting , excel",22-Feb-18
Data Analyst at Yodlee was asked...,Questions were asked on banking products and little bit of MS Excel knowledge were tested. Working experience on Fintech environment were asked and given advantage,3-Jul-18
Data Analyst at Capgemini was asked...,1. Searching Algorithm 2. Compiler 3. Linker,2-Sep-17
Data Analyst at Capgemini was asked...,Why have your family not moved on from your native.,4-Oct-18
Data Analyst at Capgemini was asked...,Give the examples of browser,6-Jun-19
Data Analyst at Capgemini was asked...,"1. Python: Explain the case study and deductions, if any changes can be done for betterment. 2. Python: Questions on classification. 3. SQL: Questions on Join,scalar functions and Written Program 4. Excel: Counta function and Pivot Table",21-Jun-19
Data Analyst at Accenture was asked...,As a fresher how can you contribute to the job / Why should we hire you?,29-Jul-16
Junior Data Analyst at IKS Health was asked...,What is sedative n hypnosis?,31-Jul-19
Data Analyst at AXA XL was asked...,"there is a person who is claustrophobic. has to sit into the train. he can sit either in front, middle or back. the train has to pass through the tunnel. where should he sit such that he suffers minimal fear ?",4-Sep-19
Senior Executive Product - Data Analyst at Vivo (CA) was asked...,"Why not Tata or any other big giants, why Vivo?",2-Apr-17
Data Analyst at Stratagems Services was asked...,Where Do You See Yourself in Five Years?,20-Apr-17
Junior Data Analyst at Annik Technology Services was asked...,Why not Pursing MBA,18-Jun-18
Data Analyst at Virtusa was asked...,"What is SEO, SEM?",25-Sep-18
Data Analyst at Whirldata was asked...,"There are 2 program asked to write in the first round. They are as follows, 1) Write a program in any language to eliminate duplicate elements in given array 2) Write a program in any language to draw the given pattern",6-Sep-18
Data Analyst at Vigneshwara Exports was asked...,tell me about yourself?,13-Feb-19
Research Data Analyst at S&P Global Market Intelligence was asked...,Why do you want to join the organization,18-Feb-19
Data Analyst at MagicBricks was asked...,SQL and tableau,1-Jul-19
Data Analyst at Lentenics Technologies was asked...,Analysis of data having 1 million people's income.,29-Nov-19
Research and Data Analyst at Opera Solutions was asked...,Basic introduction then puzzles questions,16-Oct-15
Data Analyst at Stratagems Services was asked...,Where Do You See Yourself in Five Years?,20-Apr-17
Data Analyst at TurtlEye was asked...,Your previous work experience as a data analyst,4-Oct-17
Data Analyst at Knowlarity Communications was asked...,Logical questions and puzzles,25-Aug-17
Data Analyst at Rudder Analytics was asked...,Probability and statics based questions,4-Feb-20
Data Analyst at Ujjivan was asked...,They ask question on sql in the written test. So better if you go through it prior to interview.,9-Dec-19
Data Analyst at IDS Infotech Limited was asked...,"As my background was of litigation support, so been asked about litigation processing and tools used in market.",26-Jan-20
Data Analyst at Zen3 Info Solutions was asked...,Noting much specific,1-Jun-15
Data Analyst at Whirldata was asked...,"There are 2 program asked to write in the first round. They are as follows, 1) Write a program in any language to eliminate duplicate elements in given array 2) Write a program in any language to draw the given pattern",6-Sep-18
Data Analyst at Aptroid Technologies was asked...,"General C - programs (star patterns, prime numbers and some topics of C-language",9-May-19
Data Analyst at MagicBricks was asked...,SQL and tableau,1-Jul-19
Data Analyst at Cogency Software was asked...,what r type of financial statment,23-Jan-18
Data Analyst at Myntra was asked...,Tell me about yourself?,3-Dec-18
Data Analyst at Mindtree was asked...,"How to add two numbers without using these operators i.e. (+, SUM, ADD).",2-Apr-19
Data Analyst at Aptroid Technologies was asked...,"General C - programs (star patterns, prime numbers and some topics of C-language",9-May-19
Data Analyst at Ayushveda Informatics India was asked...,There were no questions but based on article writing skill I was selected,19-Jun-19
Data Analyst at Virtusa was asked...,Do you consider yourself confident?,30-Dec-19
Data Analyst at Indegene was asked...,How many footballs are required to fill a cubical room?,8-Jan-20
Data Analyst at IDS Infotech Limited was asked...,"As my background was of litigation support, so been asked about litigation processing and tools used in market.",26-Jan-20
Data Analyst at Rudder Analytics was asked...,Probability and statics based questions,4-Feb-20
Data Analyst at Zen3 Info Solutions was asked...,Noting much specific,1-Jun-15
Data Analyst at Applied Data Finance was asked...,"You are given an array of integers and an integer value K. Return true if there exist two element A, B in the array So that A+B = K.",2-Feb-19
Data Analyst at TIAA was asked...,How would you make hierarchies in RPD,24-Feb-17
Data Analyst at WSP was asked...,"All about my domain, questions related to sql , power bi , advance excel",14-Oct-19
Data Analyst at Universal Electronics (CA) was asked...,#NAME?,16-Jul-18
Data Analyst at vPhrase was asked...,Quantitative and Verbal Aptitude test,6-Oct-17
Data Analyst at vPhrase was asked...,Tell me about yourself.,30-Jun-19
Data Analyst at Unilog Content Solutions was asked...,basic electronics,7-Feb-18
Business Data Analyst at Artoon Solutions was asked...,Tell us about yourself.,20-Aug-19
Data Analyst at Cogencis Information Services was asked...,Very easy interview but you get less pay,16-Mar-17
Data Analyst at BRIDGEi2i was asked...,most difficult question they asked me from stats.. which i dont remember now,3-Nov-16
Data Analyst at FE fundinfo was asked...,Mutual Funds,1-Aug-16
Data Analyst at LatentView Analytics was asked...,"First question in all the interviews including the HR interview was what i did in my internship. If project is mentioned in the resume, then explain the project will be a question.",13-Sep-15
Data Analyst at Wipro was asked...,Why did you apply for this job?,14-Nov-17
Data Analyst at Aon was asked...,IF you have a watch showing 2:30 as the time than what is the difference between minute hand and hour hand.,30-Mar-17
Data Analyst at American Express was asked...,What is Logit Function?,23-Aug-15
Data Analyst at Customer Analytics (India) was asked...,1st - Basic questions on machine learning. Not much detailing 2nd - Machine test to develop a linear regression model 3rd - Salary discussion,6-Nov-17
Data Analyst at Tredence was asked...,Solve 5 puzzles.,30-Apr-20
Big Data Analyst at Happiest Minds Technologies was asked...,"Java related questions,DBMS,SQL,Python",1-Apr-19
Data Analyst at Happiest Minds Technologies was asked...,what are your roles and responsibilities in your organisation?,9-Jun-19
Business Analyst/Data Analyst at Absolutdata was asked...,"Puzzles : 2 or 3 puzzles to check your thinking process Technical : Based on CV based mainly and other than, normal technical questions based on machine learning,statistics etc.",17-May-18
Financial Data Analyst at Cotiviti was asked...,"In Excel using given data, get the gross profit earned in a particular city in particular month?",27-Aug-19
Clinical Data Analyst at Novo Nordisk was asked...,What are your 5 year goals? What do you expect from the company and why you want to leave current organization?,17-Jun-13
Data Analyst at Deloitte was asked...,"Questions on DBMS, SQL, C",4-Oct-17
Data Analyst at Infosys was asked...,Tell me about yourself and all the achievements you have had till now?,2-Oct-17
Data Analyst at Infosys was asked...,"At first, it was a brief presentation on the case study. It was followed by technical round where questions were mostly from projects mentioned in the cv. Then HR round was mostly very familiar questions related to personality. ""Tell me about yourself"" and ""Why Analytics?"" were some of the questions asked.",7-Dec-19
Data Analyst at Deloitte was asked...,Versant test basically focuses on the English communication. Can clear this round without much fuss. Technical interviewer had a god knowledge and asked me some basic questions in the beginning later on asked me to explain about Gantt chart and LOD functions in tableau. The asked my role in my current organization. Overall it was a good experience,9-Dec-18
Data Analyst at Hero FinCorp was asked...,How would you rate yourself in Excel,13-Jun-19
Data Analyst at Legato Health Technologies was asked...,They asked about the basic queries in database.,27-Oct-18
Data Analyst at T-Systems was asked...,Q: How will you show the productivity of computers? Increase it by 20% Q: Use coulosal tool to analyze productivity...umm....uhhh....productivity...umm..err 20%,7-Dec-19
Data Analyst at Zoho was asked...,Apptitude are very difficult sum,2-Dec-17
Data Analyst at Concentrix was asked...,Technologies you are good at and how much you rate yourself in it..,3-Jun-17
Data Analyst at EY was asked...,they gave a scenario based question and asked provide year on year comparison from 2 days of data.,15-Jun-18
Business Data Analyst at IQVIA was asked...,Scenario based questions on DWH concepts and DMM concepts with good ETL conceptual and report level analysis,15-Dec-15
Data Analyst at GlobalLogic was asked...,How do you do online shopping?,12-Sep-15
Data Analyst at GlobalLogic was asked...,only about project,9-Apr-19
Data Analyst at EY was asked...,They were asking about the SAP system and more about Master data Management,17-May-19
Cs Data Analyst at Amazon was asked...,Selecting a cell in excel should change color of that cell row to yellow,20-Mar-19
Data Analyst at Facebook was asked...,Excel,12-Apr-16
Data Analyst at Capgemini was asked...,Give examples of search engines.,6-Jun-19
Data Analyst at Fractal was asked...,How proficient are you in Python?,1-Sep-19
Data Analyst at AXA XL was asked...,There are n bulbs in a circle. Initially all are off. There are n switches in the same circle. Toggling one switch will toggle the state of the corresponding bulb and also toggle the state of each of the adjacent bulbs. In how many switch toggles will you be able to turn on all the bulbs?,4-Sep-19
Data Analyst at Accenture was asked...,asked to talk about any new artical from google,22-Nov-18
Data Analyst at Capgemini was asked...,Tell me about yourself,31-Jan-20
Financial Data Analyst at Capgemini was asked...,What is bond ?,5-Mar-20
Data Analyst at Accenture was asked...,it was a brain teaser that I couldn't answer... but I just shared my approach...,16-Oct-13
Data Analyst at Paradigm Infotech was asked...,"He gave a laptop and asked me to write a VBA code to consolidate multiple excel sheets. (He was clueless about ""Personal Workbook"")",13-May-15
Data Analyst at Rainman Consulting was asked...,"what do u know about linear model,what is type I & II errors",7-Feb-17
Data Analyst at 99Games was asked...,Examples where analytics is used?,16-Jun-17
Data Analyst at Visual BI Solutions was asked...,subtract the sum of the digits of your year of birth from your year of birth and the ans is divisible by 9 .. how??,26-Aug-14
Clinical Data Analyst at Theorem Clinical Research was asked...,What is discrepancy Management?,20-Aug-15
Senior Data Analyst at Wunderman was asked...,Sql server related questions,24-Aug-15
